timestamp,flow,pressure,temperature
2024-01-02T00:00:00,100.00,50.00,20.00
2024-01-02T00:01:00,100.10,50.05,20.02
2024-01-02T00:02:00,100.20,50.10,20.04
2024-01-02T00:03:00,100.30,50.15,20.06
2024-01-02T00:04:00,100.40,50.20,20.08
2024-01-02T00:05:00,nan,50.25,20.10
2024-01-02T00:06:00,nan,50.30,20.12
2024-01-02T00:07:00,100.70,50.35,20.14
2024-01-02T00:08:00,100.80,50.40,20.16
2024-01-02T00:09:00,100.90,50.45,20.18
2024-01-02T00:10:00,110.00,50.50,20.20
2024-01-02T00:11:00,110.00,50.55,20.22
2024-01-02T00:12:00,110.00,50.60,20.24
2024-01-02T00:13:00,110.00,50.65,20.26
2024-01-02T00:14:00,110.00,50.70,20.28
2024-01-02T00:15:00,110.00,50.75,20.30
2024-01-02T00:16:00,110.00,50.80,20.32
2024-01-02T00:17:00,110.00,50.85,20.34
2024-01-02T00:18:00,101.80,50.90,20.36
2024-01-02T00:19:00,101.90,65.95,20.38
2024-01-02T00:20:00,102.00,51.00,20.40
2024-01-02T00:21:00,102.10,51.05,20.42
2024-01-02T00:22:00,102.20,51.10,20.44
2024-01-02T00:23:00,102.30,51.15,20.76
2024-01-02T00:24:00,102.40,51.20,21.08
2024-01-02T00:25:00,102.50,51.25,21.40
2024-01-02T00:26:00,102.60,51.30,21.72
2024-01-02T00:27:00,102.70,51.35,22.04
2024-01-02T00:28:00,102.80,51.40,22.36
2024-01-02T00:29:00,102.90,51.45,22.68
2024-01-02T00:30:00,103.00,51.50,23.00
2024-01-02T00:31:00,103.10,51.55,23.32
2024-01-02T00:32:00,103.20,51.60,23.64
2024-01-02T00:33:00,103.30,51.65,23.96
2024-01-02T00:34:00,103.40,51.70,20.68
2024-01-02T00:35:00,103.50,51.75,20.70
